strategy_name,signal_type,instrument,timeframe,direction,entry_date,entry_price,stop_price,exit_date,exit_price,exit_type,volume,commission,profit_abs,profit_eq_pc,start_equity
ETH-USDT-SWAP_M30_HHV_LLV_False_False_True,HHV_LLV,ETH-USDT-SWAP,M30,Short,2021-04-04 00:00:00,1981.56,2027.28,2021-04-04 07:30:00,2027.33,stop,0.031,0.062137795,-1.4810077949999993,-0.014814750447054284,9996.846050785
ETH-USDT-SWAP_M30_ENVELOPE_BREAKTHROUGH_True_False_True_w,ENVELOPE_BREAKTHROUGH,ETH-USDT-SWAP,M30,Short,2021-04-04 01:00:00,1981.56,2108.83,2021-04-05 00:00:00,2079.01,exit,0.034,0.06902969,-3.3823296900000095,-0.03385656288682941,9990.174434735
ETH-USDT-SWAP_M30_ENVELOPE_BREAKTHROUGH_True_False_False,ENVELOPE_BREAKTHROUGH,ETH-USDT-SWAP,M30,Short,2021-04-04 01:00:00,1992.1,2131.55,2021-04-05 00:00:00,2079.01,exit,0.005,0.010177775,-0.44472777500000155,-0.004451651749480172,9990.174434735
AVAX-USDT-SWAP_H1_STOCH_False_True_True,STOCH,AVAX-USDT-SWAP,H1,Long,2021-04-04 05:00:00,29.008,25.537,2021-04-04 06:00:00,29.009,take_profit,0.5,0.014504250000000002,-0.01400424999999939,-0.00014018023500478416,9990.174434735
DOGE-USDT-SWAP_M30_BB_CONFIRMED_False_True_False_w,BB_CONFIRMED,DOGE-USDT-SWAP,M30,Long,2021-04-04 08:30:00,0.057081,0.05494,2021-04-04 09:00:00,0.057212,take_profit,2320.0,0.13257988,0.17134011999999807,0.001715306635650333,9988.89157419
EGLD-USDT-SWAP_H1_BB_CONFIRMED_False_True_True,BB_CONFIRMED,EGLD-USDT-SWAP,H1,Short,2021-04-04 12:00:00,165.835,172.149,2021-04-04 13:00:00,165.834,take_profit,0.7,0.11608415,-0.11538414999999666,-0.0011551069707993833,9989.044557505
BTC-USDT-SWAP_H4_EXPANSION_False_True_True,EXPANSION,BTC-USDT-SWAP,H4,Short,2021-04-04 12:00:00,57166.5,57776.9,2021-04-04 16:00:00,57911.3,stop,0.0079,0.45455731,-6.338477310000024,-0.06345429008260635,9989.044557505
ETH-USDT-SWAP_M30_ENVELOPE_BREAKTHROUGH_True_False_True_w,ENVELOPE_BREAKTHROUGH,ETH-USDT-SWAP,M30,Long,2021-04-04 13:00:00,2082.49,2055.71,2021-04-04 20:00:00,2055.66,stop,0.161,0.333121075,-4.652751074999989,-0.046578539601210105,9989.044557505
AAVE-USDT-SWAP_H1_FAKE_REVERSAL_False_True_False_w,FAKE_REVERSAL,AAVE-USDT-SWAP,H1,Long,2021-04-04 17:00:00,406.18,389.29,2021-04-04 18:00:00,408.95,take_profit,0.25,0.10189125,0.5906087499999955,0.005918145811220551,9979.624849395
AAVE-USDT-SWAP_H1_FAKE_REVERSAL_False_True_False_w,FAKE_REVERSAL,AAVE-USDT-SWAP,H1,Long,2021-04-04 19:00:00,410.46,393.54,2021-04-05 03:00:00,393.49,stop,0.25,0.10049375,-4.342993749999993,-0.043516031975598404,9980.215458145
EGLD-USDT-SWAP_H1_ENVELOPE_CROSS_False_True_True,ENVELOPE_CROSS,EGLD-USDT-SWAP,H1,Short,2021-04-04 20:00:00,165.845,171.443,2021-04-04 21:00:00,165.03,take_profit,0.7,0.11580625,0.45469374999999834,0.004555951240801281,9980.215458145
ETH-USDT-SWAP_M30_STOCH_False_True_True,STOCH,ETH-USDT-SWAP,M30,Short,2021-04-04 20:00:00,2063.58,2126.62,2021-04-04 20:30:00,2054.72,take_profit,0.013,0.026768949999999993,0.08841105000000166,0.0008858631396364104,9980.215458145
ETH-USDT-SWAP_M30_STOCH_False_True_True,STOCH,ETH-USDT-SWAP,M30,Short,2021-04-05 01:00:00,2056.53,2118.98,2021-04-05 01:30:00,2056.5199999999995,take_profit,0.013,0.026734824999999997,-0.02660482499999125,-0.00026678781906531887,9972.278754405
EGLD-USDT-SWAP_H1_ENVELOPE_CROSS_False_True_True,ENVELOPE_CROSS,EGLD-USDT-SWAP,H1,Short,2021-04-05 01:00:00,164.82500000000002,169.945,2021-04-05 02:00:00,164.824,take_profit,0.8,0.13185960000000002,-0.1310595999999962,-0.0013142392348599757,9972.278754405
DOGE-USDT-SWAP_M30_BB_CONFIRMED_False_True_False_w,BB_CONFIRMED,DOGE-USDT-SWAP,M30,Long,2021-04-05 02:00:00,0.057412,0.05564,2021-04-05 02:30:00,0.057422,take_profit,2800.0,0.1607676,-0.13276759999999144,-0.0013313702663002077,9972.25214958
AVAX-USDT-SWAP_H1_STOCH_False_True_True,STOCH,AVAX-USDT-SWAP,H1,Long,2021-04-05 02:00:00,29.39,26.997,2021-04-05 03:00:00,29.391,take_profit,0.7,0.020573349999999997,-0.01987335000000163,-0.00019928647713584574,9972.25214958
CFX-USDT-SWAP_H1_HHV_LLV_False_True_True,HHV_LLV,CFX-USDT-SWAP,H1,Long,2021-04-05 02:00:00,1.14765,1.0706,2021-04-05 03:00:00,1.175,take_profit,50.0,0.058066250000000014,1.3094337499999993,0.013130772571320797,9972.25214958
